,team_name,games_played,runs_per_game,runs_against_per_game,logo
faeb1160-5d15-4f26-99fc-c441cf21fc7f,Blue Devils,37,0.675675676,0.189189189,https://www.ncaa.com/sites/default/files/images/logos/schools/d/duke.24.png
ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Sun Devils,27,0.62962963,0.259259259,https://www.ncaa.com/sites/default/files/images/logos/schools/a/arizona-st.24.png
f38b58de-3273-4723-a78b-2f918e9aa2d5,Shockers,33,0.606060606,0.181818182,https://www.ncaa.com/sites/default/files/images/logos/schools/w/wichita-st.24.png
7d797407-623e-476d-b299-46de4275414d,Bluejays,33,0.606060606,0.212121212,https://www.ncaa.com/sites/default/files/images/logos/schools/c/creighton.24.png
ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Bruins,33,0.545454545,0.272727273,https://www.ncaa.com/sites/default/files/images/logos/schools/u/ucla.24.png
f770d3a2-221c-49ce-9c7a-680f7417fe9e,Mountaineers,36,0.527777778,0.194444444,https://www.ncaa.com/sites/default/files/images/logos/schools/w/west-virginia.24.png
857462b3-0ab6-4d26-9669-10ca354e382b,Buckeyes,33,0.515151515,0.212121212,https://www.ncaa.com/sites/default/files/images/logos/schools/o/ohio-st.24.png
4383eb6a-7fd8-4ff2-94c5-43c933121e88,Wildcats,40,0.5,0.075,https://www.ncaa.com/sites/default/files/images/logos/schools/v/villanova.24.png
bdc2561d-f603-4fab-a262-f1d2af462277,Wolverines,39,0.487179487,0.025641026,https://www.ncaa.com/sites/default/files/images/logos/schools/m/michigan.24.png
fae4855b-1b64-4b40-a632-9ed345e1e952,Jayhawks,39,0.487179487,0.179487179,https://www.ncaa.com/sites/default/files/images/logos/schools/k/kansas.24.png
68a3227f-677f-43b0-9a3a-cad79d0df9e2,Rebels,27,0.481481481,0.444444444,https://www.ncaa.com/sites/default/files/images/logos/schools/u/unlv.24.png
a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,Bearcats,36,0.472222222,0.083333333,https://www.ncaa.com/sites/default/files/images/logos/schools/c/cincinnati.24.png
3a000455-de7c-4ca8-880e-abdce7f21da9,Trojans,34,0.470588235,0.235294118,https://www.ncaa.com/sites/default/files/images/logos/schools/s/southern-california.24.png
c1c54dbf-805c-47fc-a707-c803e94db2a4,Broncos,26,0.461538462,0.153846154,https://www.ncaa.com/sites/default/files/images/logos/schools/b/boise-st.24.png
2f4d21f8-6d5f-48a5-abca-52a30583871a,Bulldogs,37,0.459459459,0.108108108,https://www.ncaa.com/sites/default/files/images/logos/schools/g/gonzaga.24.png
12d7f888-675b-459f-9099-a38f771d8a95,Boilermakers,37,0.459459459,0.162162162,https://www.ncaa.com/sites/default/files/images/logos/schools/p/purdue.24.png
1da70895-f77f-44ef-b216-d63c02e696eb,Ducks,32,0.4375,0.15625,https://www.ncaa.com/sites/default/files/images/logos/schools/o/oregon.24.png
620d5944-7156-47d3-aad5-5b3824557d03,Toreros,16,0.4375,0.125,https://www.ncaa.com/sites/default/files/images/logos/schools/s/san-diego.24.png
a7127c0a-a466-47ae-91ad-9a71ee2c9427,Cowboys,23,0.434782609,0.260869565,https://www.ncaa.com/sites/default/files/images/logos/schools/w/wyoming.24.png
e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,Tar Heels,37,0.432432432,0.135135135,https://www.ncaa.com/sites/default/files/images/logos/schools/n/north-carolina.24.png
